frame_number,timestamp,head_pitch,head_yaw,head_roll,inBrL,otBrL,inBrR,otBrR,EyeOL,EyeOR,oLipH,iLipH,LipCDt,dicCoeff_local0,dicCoeff_local1,dicCoeff_local2,dicCoeff_local3,dicCoeff_local4,dicCoeff_local5,dicCoeff_local6,dicCoeff_local7,dicCoeff_local8,dicCoeff_local9,dicCoeff_local10,dicCoeff_local11,dicCoeff_local12,dicCoeff_local13,dicCoeff_local14,dicCoeff_local15,dicCoeff_local16,dicCoeff_local17,dicCoeff_local18,dicCoeff_local19,dicCoeff_local20,dicCoeff_local21,dicCoeff_local22,dicCoeff_local23
48,4.8,164.59,160.0,-179.21,0.7243,0.713,0.7327,0.7215,0.1552,0.1295,0.0004,0.0003,0.0633,0.001291,0.014188,0.000942,0.001662,0.012869,0.001484,0.003519,0.011042,0.001026,0.000979,0.011034,0.001512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,4.9,167.68,159.61,-179.44,0.7199,0.7091,0.7272,0.7152,0.1482,0.1288,0.0005,0.0003,0.0642,0.001357,0.013892,0.000816,0.001713,0.012599,0.001301,0.003558,0.010643,0.000964,0.000965,0.010804,0.001434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,5.0,166.19,157.76,-179.47,0.7131,0.702,0.7191,0.7068,0.1519,0.1245,0.0007,0.0005,0.0605,0.001235,0.013943,0.000885,0.001657,0.012717,0.001375,0.003348,0.010849,0.000992,0.000957,0.010879,0.001478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,5.1,164.66,157.57,179.69,0.7015,0.69,0.7023,0.6912,0.1596,0.1316,0.0005,0.0004,0.0616,0.001266,0.013975,0.000909,0.001658,0.012749,0.001401,0.003342,0.011133,0.001008,0.000916,0.01109,0.001496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,5.2,166.33,158.08,179.18,0.6925,0.6794,0.6891,0.6776,0.1534,0.1384,0.0011,0.0008,0.0623,0.001371,0.01405,0.000904,0.001723,0.012801,0.001409,0.003461,0.011185,0.00103,0.000908,0.011159,0.001536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,5.3,168.54,157.98,178.95,0.6849,0.6704,0.6818,0.6696,0.1489,0.1397,0.0004,0.0003,0.0685,0.00138,0.013831,0.000844,0.001746,0.013009,0.00132,0.003385,0.01123,0.001011,0.000854,0.011217,0.001508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,5.4,166.48,159.29,179.73,0.6773,0.6648,0.6764,0.6657,0.1627,0.1359,0.0005,0.0004,0.066,0.001322,0.014092,0.000811,0.001698,0.013319,0.001293,0.003385,0.011498,0.000954,0.000888,0.011407,0.001419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,5.5,167.72,160.37,179.48,0.6806,0.6673,0.6783,0.6667,0.1506,0.1291,0.0005,0.0004,0.067,0.001421,0.01404,0.00078,0.001736,0.013458,0.001235,0.003394,0.01152,0.000953,0.000841,0.011463,0.001414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,5.6,166.72,159.34,179.46,0.6843,0.67,0.6796,0.6684,0.1532,0.1287,0.0004,0.0003,0.067,0.001381,0.013912,0.000793,0.001729,0.013384,0.001259,0.003398,0.011481,0.000945,0.000857,0.011399,0.001402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,5.7,166.36,157.86,179.25,0.6869,0.6721,0.6791,0.6666,0.1489,0.1248,0.0003,0.0002,0.0668,0.001483,0.014035,0.000797,0.001804,0.013297,0.001271,0.003473,0.011527,0.000974,0.000842,0.011421,0.001454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,5.8,167.49,160.04,178.53,0.6853,0.6698,0.6777,0.6665,0.1482,0.1275,0.0014,0.001,0.0655,0.00146,0.014075,0.000814,0.001738,0.013275,0.001312,0.003398,0.011565,0.000969,0.000832,0.011566,0.001437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,5.9,165.91,158.44,179.08,0.6823,0.6678,0.6762,0.665,0.1604,0.1362,0.0011,0.0008,0.0617,0.001512,0.014306,0.000847,0.001785,0.013172,0.001351,0.00342,0.011603,0.000999,0.000835,0.011488,0.001494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,6.0,167.04,161.82,179.23,0.6776,0.6636,0.673,0.6605,0.1654,0.1339,0.0008,0.0006,0.07,0.001397,0.01421,0.000815,0.001691,0.013169,0.001326,0.003439,0.011501,0.00097,0.000879,0.011442,0.001431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,6.1,165.37,161.38,179.49,0.6736,0.66,0.6693,0.6586,0.1669,0.1334,0.0007,0.0005,0.0675,0.001348,0.014288,0.000904,0.001641,0.013234,0.00145,0.003372,0.011667,0.001003,0.000881,0.011484,0.00147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,6.2,166.13,160.78,179.0,0.6697,0.6557,0.6645,0.6543,0.1575,0.1334,0.0012,0.0008,0.068,0.001404,0.014684,0.000867,0.001676,0.013429,0.001414,0.003398,0.011915,0.000984,0.000877,0.01181,0.001438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,6.3,165.53,161.93,179.3,0.6652,0.6503,0.6585,0.6486,0.1652,0.1339,0.0004,0.0003,0.0709,0.001361,0.014201,0.000764,0.001624,0.013427,0.001278,0.003379,0.011803,0.00092,0.000881,0.011573,0.00134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,6.4,167.07,163.25,179.54,0.6621,0.6473,0.6593,0.6482,0.1615,0.1238,0.0004,0.0003,0.07,0.001347,0.013902,0.000725,0.001593,0.013214,0.001225,0.003394,0.011467,0.000898,0.000909,0.011285,0.001299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,6.5,166.16,163.29,179.3,0.6621,0.6467,0.6561,0.6446,0.1654,0.1278,0.0003,0.0002,0.0725,0.001312,0.01407,0.000766,0.001556,0.013378,0.001281,0.003384,0.011729,0.000907,0.00091,0.01154,0.001304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,6.6,165.67,164.38,179.11,0.6621,0.6471,0.6557,0.6449,0.1651,0.1317,0.0012,0.0008,0.0695,0.001304,0.014155,0.000796,0.001532,0.013495,0.001338,0.003343,0.011808,0.00092,0.000917,0.011693,0.001303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,6.7,166.22,163.4,179.22,0.6608,0.646,0.6551,0.6449,0.1562,0.1332,0.0068,0.0048,0.0729,0.001318,0.01428,0.000778,0.00155,0.013519,0.001309,0.003354,0.011801,0.000911,0.000896,0.011784,0.001294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,6.8,167.46,164.4,179.92,0.6572,0.6416,0.657,0.6444,0.1598,0.1343,0.0021,0.0015,0.0681,0.001274,0.014173,0.000715,0.001521,0.013435,0.001231,0.00337,0.011593,0.000879,0.00094,0.011526,0.001249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,6.9,166.99,165.05,179.8,0.656,0.6414,0.6544,0.6432,0.1647,0.1337,0.003,0.0021,0.0692,0.001285,0.014296,0.000693,0.001521,0.013722,0.001182,0.003314,0.011826,0.000852,0.000915,0.011743,0.001213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,7.0,167.46,166.03,179.9,0.6575,0.643,0.6564,0.6437,0.1629,0.1343,0.0002,0.0002,0.0685,0.001305,0.014064,0.000722,0.001517,0.013554,0.001244,0.003397,0.011631,0.000877,0.000954,0.01156,0.001232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
